symptoms,doctor_specialization
fever cold cough,General Physician
itching skin_rash nodal_skin_eruptions,Dermatologist
chest_pain breathlessness,Cardiologist
headache dizziness loss_of_balance,Neurologist
stomach_pain acidity vomiting,Gastroenterologist
fatigue weight_loss restlessness,Endocrinologist
joint_pain knee_pain swelling_joints,Orthopedic
burning_micturition bladder_discomfort,Urologist
constipation pain_in_anal_region bloody_stool,Proctologist
high_fever headache nausea muscle_pain,General Physician
skin_rash pus_filled_pimples blackheads,Dermatologist
sweating chest_pain breathlessness,Cardiologist
back_pain neck_pain weakness_in_limbs,Neurologist
yellowish_skin dark_urine loss_of_appetite,Gastroenterologist
weight_gain cold_hands_and_feets mood_swings,Endocrinologist
hip_joint_pain painful_walking movement_stiffness,Orthopedic
continuous_feel_of_urine foul_smell_of_urine,Urologist
irritation_in_anus pain_during_bowel_movements,Proctologist
continuous_sneezing shivering chills,General Physician
skin_peeling silver_like_dusting small_dents_in_nails,Dermatologist
fast_heart_rate swollen_legs prominent_veins_on_calf,Cardiologist
spinning_movements unsteadiness altered_sensorium,Neurologist
abdominal_pain indigestion passage_of_gases,Gastroenterologist
excessive_hunger blurred_and_distorted_vision polyuria,Endocrinologist
muscle_weakness stiff_neck swelling_joints,Orthopedic
high_fever patches_in_throat muscle_wasting,Infectious Disease Specialist
cough breathlessness high_fever mucoid_sputum,Pulmonologist
phlegm blood_in_sputum sweating mild_fever,Pulmonologist
chills vomiting dehydration diarrhoea,General Physician
blister red_sore_around_nose yellow_crust_ooze,Dermatologist
